text,label,cleaned_text
"“Lai ievēlētos Saeimā, ir nepieciešami 300 000- 500 000, eiro”, viņi teica. “Mēs mēģināsim citādāk”, mēs atbildējām, atsakoties no dāsniem- šaubīgiem ziedojumiem. Viņi aizgāja nosmīnot. (Jau parīt uzzināsim, kam bija taisnība).",-1,ievēlēt saeima pieciešams eiro viņš teikt mēs mēģināt citāds mēs atbildēt atsacīt dāsns šaubīgs ziedojums viņš aiziet nosmīnēt parīt uzzināt kas taisnība
Kā var tā pakāst jebkādu cieņu pāris dienās? APAR ir izcili šajā jomā. Viņi ļoti mērķtiecīgi cenšas netikt nākamajā Saeimā.,-1,pakāst jebkāda cieņa pāris diena apart izcils šis joma viņš ļoti mērķtiecīgs cenšas tikt nākt saeima
"šis ir brīdinājums vēlēšanu uzvarētājiem JV un NA - ja nu gadījumā notiek dīvainas lietas un Pro iekļūst Saeimā, nekādu koalīciju ar imigrāciju atbalstošiem, pretvalstiskiem spēkiem!",-1,šis brīdinājums vēlēšanas uzvarētājs jv na gadījums notikt dīvains liet pro iekļūt saeima kāds koalīcija imigrācija atbalstīt pretvalstiskiem spēks
APAR 14.Saeimā nav jābūt.,-1,apart saeima nav jābūt
"Ja esi norāvis smagu neziņas vīrusu, tad nobalso ar tukšu aploksni. Tava balss tiks pieskaitīta kopējam derīgo vēlēšanu aplokšņu skaitam, no kura aprēķina 5% barjeras slieksni, kas jāpārsniedz kandidātu sarakstiem. Tiem, kam noteikti nav jābūt Saeimā, mazāka iespēja.",-1,noraut smags ziņa vīruss nobalsot tukšs aploksne tavs balss pieskaitīt kopēt derīgs vēlēšanas aploksne skaits kura aprēķins barjera slieksnis kas pārsniegt kandidāts saraksts tas kas noteikts nav jābūt saeima mazs iespēt
Krievijas sabotieru vienība Latvijas Saeimā nekautrējas. 17 no viņiem darbojas pilnīgi atklāti.,-1,krievija sabotieris vienība latvija saeima kautrēties viņš darboties pilnīgs atklāt
"Latvija NAV kristīga valsts, tāpēc sabiedrībai nemaz nevajag, lai Saeima raksta likumus, atskatoties uz kristietību, un īpaši jau uz tās konservatīvo interpretāciju.",-1,latvija nav kristīgs valsts sabiedrība nemaz vajag saeima rakstīt likums atskatīt kristietība īpašs tas konservatīvs interpretācija
"""🇱🇻🇪🇺Latvija ir viena no retajām ES valstīm, kur viendzimuma pāru ģimenes ir pilnīgi nepasargātas. Kandidēju no @Progresivie, lai Saeima beidzot pieņemtu Civilās savienības likumu, pildītu ST spriedumu& arī iestātos par laulību vienlīdzību🌈 #AizstāvamNākotni #PolitikaPašuRokām""",-1,latvija viena rets es valsts kurt viendzimuma pāris ģimene pilnīgs pasargāt kandidēt saeima beigt pieņemt civils savienība likums pildīt st spriedums iestāt laulības vienlīdzība
"""Kad krievs saldi sola Latvijai suverēnu varu, tad atceries Ukrainu... Šiem mērgļiem nav vietas mūsu Saeimā. Kā domā Tu? ⛔Stop russians""",-1,kad krievs salds solīt latvija suverēns varēt atcerēties ukraina šis mērglis nav vieta mēs saeima doma tu stops russians
"""Saeima ceturtdien lēma izslēgt deputātu Aldi Gobzemu, kurš izveidojis partiju """"Katram un katrai"""", no dalības nākamajās sešās parlamenta sēdēs par deputātu ētikas kodeksa pārkāpumu, informēja parlamentā. lsm.lv/raksts/zinas/latvija/…""",0,saeima ceturtdien lemt izslēgt deputāts aldis gobzemu kurš izveidot partija katrs katra dalība nākt seši parlaments sēde deputāts ētika kodekss pārkāpums informēt parlaments
"""Saeima šodien galīgajā lasījumā apstiprināja manas valdības virzīto straujāku pāreju uz mācībām tikai latviešu valodā. Tas stiprinās mūsu Latviju - paldies Saeimas deputātiem, kas atbalstīja grozījumu pieņemšanu! lsm.lv/raksts/zinas/latvija/…""",1,saeima šodien galīgs lasījums apstiprināt mana valdība virzīt straujš pāriet mācība latvietis valoda tas stiprināt mēs latvija paldies saeima deputāts kas atbalstīt grozījums pieņemt
"❗️1/3 Foršie twitterī!! Pēdējo trīs dienu laikā man ir atklāta jauna pasaule, maigi sakot, es esmu šokā šobrīd. Latvijā ir cilvēki, kas domā, ka mūsu vēlēšanu sistēma strādā pēc šāda principa - balsoju par tiem, ko nevēlos redzēt Saeimā.",-1,foršs twitterī pēdējs trīs dienēt laiks es atklāt jauns pasaule maigs sacīt es šoks šobrīd latvija cilvēks kas doma mēs vēlēšanas sistēma strādāt šāda princips balsot tas ko velt redzēt saeima
"""Šiem """"progresīvajiem"""" rašistu radiniekiem Saeimā nav vietas! ⛔stop russians""",-1,šis progresīvs rašistu radinieks saeima nav vieta stops russians
"""Ja Tev šķiet, ka Tava balss neko neietekmē un Tu nevari izlemt, tāpēc domā, ka labāk uz vēlēšanām neiesi – uzzīmēju, kā mainās Saeima, ja 15% vēlētāju (tādi, kas balsotu par kādu """"lielo"""" partiju – pēc pēdējās aptaujas) nolemj neaiziet. Saeimā tad tiktu gan Gobzems, gan Šlesers.""",0,tu šķist tavs balss kas ietekmēt tu varēt izlemt doma labs vēlēšanas iet uzzīmēt mainīt saeima vēlētājs tāds kas balsot kāds liels partija pēdējs aptauja nolemt aiziet saeima tikt gobzems šlesers
"Ja brīva stunda, te mana saruna ar Uldi Dumpi. Par kolēģiem aktieriem Saeimā, par viņa paaudzes čīkstētājiem, par radio Brīvo mikrofonu, par ko balsot, par dzīvi bez tēva. Nerunājām par Limuzīna filmu un Lāsmiņu. lr1.lsm.lv/lv/raksts/laikmet…""",0,brīvs stunda mana saruna uldi dumpis kolēģis aktieris saeima viņš paaudze čīkstētājs radio brīvs mikrofons ko balsot dzīve tēvs runāt limuzīns filma lāsma
"""Saeima 1. lasījumā atbalstīja """"Latviešu valodas kā vienīgās valsts valodas statusa nodrošināšanas likumu"""", kura mērķis ir ierobežot faktisko divvalodību Latvijā. Likums noteiks būtiskus ierobežojumus krievu valodas lietojumam arī komersantu saziņā ar klientiem #AtkrieviskoLatviju""",0,saeima lasījums atbalstīt latvietis valoda vienīgs valsts valoda statuss nodrošināt likums kura mērķis ierobežot faktisks divvalodība latvija likums noteikt būtisks ierobežojums krievs valoda lietojums komersants saziņa klients
"Saeima otrajā lasījumā atbalsta Muižnieces rosināto pāreju uz mācībām tikai latviešu valodā. konservativie.lv/2022/09/08/…""",0,saeima otrs lasījums atbalsts muižnieks rosināt pāriet mācība latvietis valoda
"Mulsinoši - R.Bergmanis no Apvienotā saraksta, Saeimā debatējot par Valsts aizsardzības dienestu (VAD), uztur mītu, ka VAD ieviešana izmaksāšot 800 miljonus gadā. Kas ir pilnīgas blēņas, kuras izmanto VAD pretinieki. Patiesībā: 87M 2023.g., pakāpeniski pieaugot līdz 179M 2027.g.",-1,mulsināt r bergmanis apvienot saraksts saeima debatēt valsts aizsardzība dienests vads uzturēt mīts vads ieviest izmaksāt miljons gads kas pilnīgs blēņas kurš izmantot vads pretinieks patiesība m g pakāpenisks pieaugt m g
"Saeima uzsāk izskatīt Nacionālās apvienības virzītos grozījumus Imigrācijas likumā, kuri paredz apturēt jaunu un atkārtotu termiņuzturēšanās atļauju izsniegšanu Krievijas pilsoņiem, kā arī visu esošo pastāvīgās uzturēšanās atļauju pārskatīšanu Krievijas pilsoņiem.",0,saeima uzsākt izskatīt nacionāls apvienība virzīt grozījums imigrācija likums kurš paredzēt apturēt jauns atkārtot termiņuzturēšanās atļauja izsniegt krievija pilsonis viss esošs pastāvīgs uzturēt atļauja pārskatīt krievija pilsonis
"Viens no iemesliem, kāpēc es balsošu par Pro - es vēlos, lai Selma tiek Saeimā, jo sieviete, pret kuru vēršas tik liels kvantums vīriešu ar tik drausmīgām jēlībām un naidu sava aizskartā ego dēļ, ir tieši tas dadzis/spridzeklis Saeimā, kas tur līdz šim ir šausmīgi pietrūcis.",-1,viens iemesls kāpēc es balsot pro es velt selma saeima sieviete kurt vērst liels kvantums vīrietis drausmīgs jēlība naids savs aizskart ego tiešs tas dadzis spridzeklis saeima kas turēt šis šausmīgs pietrūkt
"""Šai kremļa rašistu veterāndzeguzei un viņas rokaspuišiem nav vietas mūsu Saeimā! Ja latvieši neiesim vēlēt, viņi būs iekšā... ⛔Stop russians""",-1,šis kremlis rašistu veterāndzeguzei viņš rokaspuisis nav vieta mēs saeima latvietis iet vēlēt viņš iekša stops russians
"LU sakanais profesors Tēraudkalns gari skaidro, ka Saeima nevar baznīcas vietā atdalīties no Maskavas patriarhāta, noklusējot, ka LPB (Konstantinopoles patriarhātā) tika likvidēta 1941. gadā ar PSRS NKVD tautas komisāra Merkulova rīkojumu, neprasot nekādu latviešu viedokli!",-1,lu sakanais profesors tēraudkalns garš skaidrot saeima varēt baznīca vieta atdalīt maskava patriarhāts noklusēt lpb konstantinopole patriarhāts likvidēt gads psrs nkvd tauta komisārs merkulova rīkojums prasīt kāds latvietis viedoklis
"""Mans Antitop 3 uz 1.oktobra vēlēšanām no partijām,kuras reāli var iekļūt Saeimā un rada vislielākos eksistenciālos draudus mūsu latviešu nacionālajai valstij un sabiedrībai: 1.Ždanokas LKS 2.Progresīvie 3.Rosļikovieši;""",-1,mans antitop oktobris vēlēšanas partija kurš reāls iekļūt saeima rast vislielākos eksistenciāls drauds mēs latvietis nacionāls valsts sabiedrība ždanokas lks progresīvs rosļikovieši
"jaunu skatupunktu uz stagnējošām problēmām. es labāk balsoju par 20+ jauniešiem ar svaigu bakalauru, nekā par vecajiem kraķiem, kuri sēž Saeimā jau kopš 90. gadiem, un no kuriem jēgas ir aptuveni tikpat daudz, cik no šķirbas starp zobiem",-1,jauns skatupunkts stagnēt problēma es labs balsot jaunietis svaigs bakalaurs vecajiem kraķis kurš sēdēt saeima gads kurš jēga aptuvens tikpat daudz cik šķirba zobs
"""Sarakstu TOP 5 valodu un vecuma grupās reitingi.factum.lv #saeima #vēlēšanas""",0,saraksts tops valoda vecums grupa
"""Apvienotā saraksta deputāta kandidāta runai Saeimā, kas kritizē Valsts aizsardzības dienesta likumprojektu paketi, aktīvi aplaudēja Saskaņas, ZZS, """"Suverēnā vara"""" deputāti. Tas kaut ko liecina par AS noskaņojumu drošības sakarā.""",-1,apvienot saraksts deputāts kandidāts runa saeima kas kritizēt valsts aizsardzība dienests likumprojekts pakete aktīvs aplaudēt saskaņa zzs suverēns vara deputāts tas ko liecināt ass noskaņojums drošība sakars
Okupāciju un rusifikāciju nepiedzīvojusī jaunā regresa krievinātāja vēlas ielauzties Saeimā. 😱😱😱 Alert!,-1,okupācija rusifikācija piedzīvot jauns regress krievinātāja vēlēt ielauzt saeima alert
"""Paldies Konservatīvajiem un @anita_muizniece par pāreju uz latviešu valodu pamatizglītībā un bērnudārzos. Jācer, ka K izdosies pārvarēt 5% slieksni. Ir vesela rinda citu partiju, kuras nebūtu pelnījušas būt nākamajā Saeimā. lsm.lv/raksts/zinas/latvija/…""",1,paldies konservatīvs muizniece pāriet latvietis valoda pamatizglītība bērnudārzs cerēt k izdot pārvarēt slieksnis vesels rinda cits partija kurš būtu pelnīt nākt saeima
"""Tikko Saeimā saņemts Valsts prezidenta iesniegtais likumprojekts, ar kuru tiek atzīts un nostiprināts Latvijas Pareizticīgās Baznīcas kā pilnīgi pastāvīgas un neatkarīgas baznīcas statuss. Šim likumprojektam būs nedalīts JV frakcijas atbalsts. titania.saeima.lv/LIVS13/Sae…""",0,saeima saņemt valsts prezidents iesniegt likumprojekts kurt atzīt nostiprināt latvija pareizticīgs baznīca pilnīgs pastāvīgs atkarīgs baznīca statuss šis likumprojekts dalīt jv frakcija atbalsts
"""AttPar pietuvināti reklāmisti """"Deep White"""" mums esot reklamējuši Pleša ministriju par 2,09 miljoniem. Citi AttPar čomi reklamējuši Pavļuta ministriju par vēl gandrīz miljonu. Kampēji AlkatībaiPar nedrīkst būt nākamajā Saeimā.""",-1,attpar pietuvināt reklāmisti deep white mēs būt reklamēt pleša ministrija miljons cits attpar čoms reklamēt pavļuta ministrija vēlēt gandrīz miljons kampējs alkatībaipar drīkstēt nākt saeima
"Es gribētu, lai Saeimā nokļūst arī @konservativie . Gribu atgādināt, ka tieši viņi nepieļāva ZZS, kas ļoti draudzējas ar Lembergu, nonākšanu valdībā. Turklāt mani apmierina tas, kā viņi balso - par mācībām latviešu valodā, par Uzvaras pieminekļa demontāžu u.c.",1,es gribēt saeima nokļūt griba atgādināt tiešs viņš pieļaut zzs kas ļoti draudzēties lembergu nonākt valdība turklāt es apmierināt tas viņš balsot mācība latvietis valoda uzvara piemineklis demontāža u c
"Pienākums izpildīts, tiesības izmantotas. Par @Progresivie ! Lai beidzot Saeimā!",1,pienākums izpildīt tiesība izmantot beigt saeima
"""Es domāju, ka balsot par Jauno Vienotību vajag tiem, kuriem nav bijušas problēmas savilkt jostu ap vidukli, lai gan tas bija tikai treniņš. Ievēlot JV daudz kuplākā skaitā 14. Saeimā, jostu varēs savilkt arī ap kaklu.""",1,es domāt balsot jauns vienotība vajag tas kurš nav būt problēma savilkt josta viduklis tas treniņš ievēlēt jv daudz kupls skaits saeima josta savilkt kakls
"Konservatīvie ir nedaudz nenovērtēti, jā. Neesmu baigais fans, bet kopumā es viņus Saeimā redzētu krietni labprātāk nekā lielāko daļu pārējo partiju.",1,konservatīvs daudzi novērtēt būt baigs fans kopums es viņš saeima redzēt krietns labprātāk liels daļa pārējs partija
"Saeima atbalsta @VL_TBLNNK un @konservativie iesniegto grozījumu Imigrācijas likumā tālāku skatīšanu. Ar šiem grozījumiem tiks apturēta TUA pagarināšana Krievijas un Baltkrievijas pilsoņiem, kas to saņēmuši par investīcijām vai nekustamā īpašuma iegādi.",0,saeima atbalsts tblnnk iesniegt grozījums imigrācija likums tāls skatīt šis grozījums apturēt tua pagarināt krievija baltkrievija pilsonis kas tas saņemt investīcija kustēt īpašums iegāde
"""Un šobrīdējie reitingi liecina, ka nākamajā Saeimā abortu aizliegumam var parādīties vairākuma atbalsts. Nelielais solis starp Konservatīvajiem un NA un starp AS un JV-A/PAR.""",0,šobrīdējie reitings liecināt nākt saeima aborts aizliegums parādīt vairākums atbalsts liels solis konservatīvs na ass jv a
"Vēsturisks balsojums - Saeima, pret balsojot vien Kremļa Saskaņai un tās piedēkļiem, konceptuāli atbalsta obligāta Valsts aizsardzības dienesta ieviešanu, ko Nacionālā apvienība @VL_TBLNNK rosināja jau 2014. un 2017. gadā. Toreiz Aizsardzības ministrijas vadība bija pret.",1,vēsturisks balsojums saeima balsot kremlis saskaņa tas piedēklis konceptuāls atbalsts obligāts valsts aizsardzība dienests ieviest ko nacionāls apvienība tblnnk rosināt gads toreiz aizsardzība ministrija vadība
"""Mārtiņš Staķis: Krīzes laikā Saeimā ir vajadzīgi politiķi, kas domā par vidusslāņa un mazāk turīgo ģimeņu un cilvēku labklājību. Un tādi ir @Progresivie. Pateicamies bezpartejiskajam galvaspilsētas mēram par labajiem vārdiem! ❤💚 #AizstāvamNākotni""",1,mārtiņš staķis krīze laiks saeima vajadzīgs politiķis kas doma vidusslānis mazs turīgs ģimene cilvēks labklājība tāds pateikt bezpartejisks galvaspilsēta mērs labs vārds
"Sieviete ar pautiem! Gribu, lai @anita_muizniece arī nākamajā Saeimā valda un skalda!",1,sieviete pautiem griba muizniece nākt saeima valdīt skalds
"""Progresīvo nu jau uzkrītoši izmisīgie aicinājumi Saeimā ievilkt arī """"Konservatīvos"""" ir zīmīgi. Jā, kāpēc gan lai Saeimā nebūtu divas progresīvo partijas?""",1,progresīvs uzkrītošs izmisīgs aicinājums saeima ievilkt konservatīvs zīmīgs kāpēc saeima būtu divi progresīvs partija
"2/3 Cilvēki domā, ka atdod savu balsi par tiem, kas besī (visus izsvītrojot), viņi tā veicina viņu neiekļūšanu Saeimā. Šobrīd diviem cilvēkiem es esmu atklājusi jaunu pasauli un novērsusi divas traģēdijas, kad cilvēki grasījas “balsot” (svītrot ārā visus) par LPV ...",-1,cilvēks doma atdot savs balss tas kas besī viss izsvītrot viņš veicināt viņš iekļūt saeima šobrīd divi cilvēks es atklāt jauns pasaule novērst divi traģēdija kad cilvēks grasījas balsot svītrot ārs viss lpv
"""jums Saeimā cirku sagribējās? varbūt tomēr vajadzētu no Saeimas gaidīt darbu valsts un sabiedrības labā, nevis kaut kāda """"dadža un spridzekļa"""" māžošanos?""",-1,jums saeima cirks sagribējās varbūt vajadzētu saeima gaidis darbs valsts sabiedrība labs kāds dadzis spridzeklis māžoties
