text,label,cleaned_text
"""Twitter evolūcija: 1 labs tvīts par jomu kurā specializējies Vēl pieci labi tvīti Pēkšņi tu esi speciālists visās jomās Tu kļūsti apnicīgs/a un vīzdegunīgs/a Tu ietvīto savu konta numuru Tu pataisi kontu par privātu Tev pietrūkst uzmanības, noņem privātumu Tu kandidē Saeimā""",-1,twitter evolūcija labs tvīts jomu kurā specializējies vēl pieci labi tvīti pēkšņi tu speciālists visās jomās tu apnicīgs a vīzdegunīgs a tu ietvīto savu konta numuru tu pataisi kontu privātu tev pietrūkst uzmanības noņem privātumu tu kandidē saeimā
"Saeima atbalstīja likumu ar maniem un NA priekšlikumiem, kuri teju pilnībā apturēs Krievijas pilsoņu iespējas ieceļot Latvijā. Daudziem, kuri šobrīd ir Latvijā - būs jādodas prom.",1,saeima atbalstīja likumu maniem na priekšlikumiem kuri teju pilnībā apturēs krievijas pilsoņu iespējas ieceļot latvijā daudziem kuri šobrīd latvijā jādodas prom
"Izcila Evas Mārtužas runa! Latviskums ir mūsu valsts augstākā vērtība. Tajā pašā laikā saskaņas vatņikiem nav kauna pārkliegt runātāju. Tiem, kas ir pret latvisku Latviju nav vietas mūsu Saeimā! Nav vietas Latvijā! Saules mūžu Latvijai!",1,izcila evas mārtužas runa latviskums mūsu valsts augstākā vērtība tajā pašā laikā saskaņas vatņikiem nav kauna pārkliegt runātāju tiem kas latvisku latviju nav vietas mūsu saeimā nav vietas latvijā saules mūžu latvijai
"""Izskatot grozījumus Imigrācijas likumā, tikko Nacionālajai apvienībai Saeimā izdevās izmest Krievijas pilsoņus no t.s. """"nomadu vīzu"""" saņēmēju loka.""",1,izskatot grozījumus imigrācijas likumā nacionālajai apvienībai saeimā izdevās izmest krievijas pilsoņus t s nomadu vīzu saņēmēju loka
"Ja galīgi nevari nolemt, par ko balsot- nepaliec mājās! Balso ar tukšu aploksni! Tāda balss paceļ proctuālo latiņu, kas partijām jāpārvar, lai tiktu Saeimā!",-1,galīgi nevari nolemt ko balsot nepaliec mājās balso tukšu aploksni tāda balss paceļ proctuālo latiņu kas partijām jāpārvar tiktu saeimā
"Gobzems Saeimā balso pret pāreju uz izglītību latviešu valodā visās skolās un aicina uz daudzvalodību Latvijā. Nez vai viņš ir dzirdējis, ka tauta jau nobalsoja referendumā par vienīgo valsts valodu-latviešu?Nez ko Gobzems tagad pārstāv? Varbūt vati?",-1,gobzems saeimā balso pāreju izglītību latviešu valodā visās skolās aicina daudzvalodību latvijā nez viņš dzirdējis tauta nobalsoja referendumā vienīgo valsts valodu latviešu nez ko gobzems tagad pārstāv varbūt vati
"“Lai ievēlētos Saeimā, ir nepieciešami 300 000- 500 000, eiro”, viņi teica. “Mēs mēģināsim citādāk”, mēs atbildējām, atsakoties no dāsniem- šaubīgiem ziedojumiem. Viņi aizgāja nosmīnot. (Jau parīt uzzināsim, kam bija taisnība).",-1,ievēlētos saeimā nepieciešami eiro viņi teica mēs mēģināsim citādāk mēs atbildējām atsakoties dāsniem šaubīgiem ziedojumiem viņi aizgāja nosmīnot parīt uzzināsim kam taisnība
Kā var tā pakāst jebkādu cieņu pāris dienās? APAR ir izcili šajā jomā. Viņi ļoti mērķtiecīgi cenšas netikt nākamajā Saeimā.,-1,pakāst jebkādu cieņu pāris dienās apar izcili šajā jomā viņi ļoti mērķtiecīgi cenšas netikt nākamajā saeimā
"šis ir brīdinājums vēlēšanu uzvarētājiem JV un NA - ja nu gadījumā notiek dīvainas lietas un Pro iekļūst Saeimā, nekādu koalīciju ar imigrāciju atbalstošiem, pretvalstiskiem spēkiem!",-1,šis brīdinājums vēlēšanu uzvarētājiem jv na gadījumā notiek dīvainas lietas pro iekļūst saeimā nekādu koalīciju imigrāciju atbalstošiem pretvalstiskiem spēkiem
APAR 14.Saeimā nav jābūt.,-1,apar saeimā nav jābūt
"Ja esi norāvis smagu neziņas vīrusu, tad nobalso ar tukšu aploksni. Tava balss tiks pieskaitīta kopējam derīgo vēlēšanu aplokšņu skaitam, no kura aprēķina 5% barjeras slieksni, kas jāpārsniedz kandidātu sarakstiem. Tiem, kam noteikti nav jābūt Saeimā, mazāka iespēja.",-1,norāvis smagu neziņas vīrusu nobalso tukšu aploksni tava balss pieskaitīta kopējam derīgo vēlēšanu aplokšņu skaitam kura aprēķina barjeras slieksni kas jāpārsniedz kandidātu sarakstiem tiem kam noteikti nav jābūt saeimā mazāka iespēja
Krievijas sabotieru vienība Latvijas Saeimā nekautrējas. 17 no viņiem darbojas pilnīgi atklāti.,-1,krievijas sabotieru vienība latvijas saeimā nekautrējas viņiem darbojas pilnīgi atklāti
"Latvija NAV kristīga valsts, tāpēc sabiedrībai nemaz nevajag, lai Saeima raksta likumus, atskatoties uz kristietību, un īpaši jau uz tās konservatīvo interpretāciju.",-1,latvija nav kristīga valsts sabiedrībai nemaz nevajag saeima raksta likumus atskatoties kristietību īpaši tās konservatīvo interpretāciju
"""🇱🇻🇪🇺Latvija ir viena no retajām ES valstīm, kur viendzimuma pāru ģimenes ir pilnīgi nepasargātas. Kandidēju no @Progresivie, lai Saeima beidzot pieņemtu Civilās savienības likumu, pildītu ST spriedumu& arī iestātos par laulību vienlīdzību🌈 #AizstāvamNākotni #PolitikaPašuRokām""",-1,latvija viena retajām es valstīm kur viendzimuma pāru ģimenes pilnīgi nepasargātas kandidēju saeima beidzot pieņemtu civilās savienības likumu pildītu st spriedumu iestātos laulību vienlīdzību
"""Kad krievs saldi sola Latvijai suverēnu varu, tad atceries Ukrainu... Šiem mērgļiem nav vietas mūsu Saeimā. Kā domā Tu? ⛔Stop russians""",-1,kad krievs saldi sola latvijai suverēnu varu atceries ukrainu šiem mērgļiem nav vietas mūsu saeimā domā tu stop russians
"""Saeima ceturtdien lēma izslēgt deputātu Aldi Gobzemu, kurš izveidojis partiju """"Katram un katrai"""", no dalības nākamajās sešās parlamenta sēdēs par deputātu ētikas kodeksa pārkāpumu, informēja parlamentā. lsm.lv/raksts/zinas/latvija/…""",0,saeima ceturtdien lēma izslēgt deputātu aldi gobzemu kurš izveidojis partiju katram katrai dalības nākamajās sešās parlamenta sēdēs deputātu ētikas kodeksa pārkāpumu informēja parlamentā
"""Saeima šodien galīgajā lasījumā apstiprināja manas valdības virzīto straujāku pāreju uz mācībām tikai latviešu valodā. Tas stiprinās mūsu Latviju - paldies Saeimas deputātiem, kas atbalstīja grozījumu pieņemšanu! lsm.lv/raksts/zinas/latvija/…""",1,saeima šodien galīgajā lasījumā apstiprināja manas valdības virzīto straujāku pāreju mācībām latviešu valodā tas stiprinās mūsu latviju paldies saeimas deputātiem kas atbalstīja grozījumu pieņemšanu
"❗️1/3 Foršie twitterī!! Pēdējo trīs dienu laikā man ir atklāta jauna pasaule, maigi sakot, es esmu šokā šobrīd. Latvijā ir cilvēki, kas domā, ka mūsu vēlēšanu sistēma strādā pēc šāda principa - balsoju par tiem, ko nevēlos redzēt Saeimā.",-1,foršie twitterī pēdējo trīs dienu laikā man atklāta jauna pasaule maigi sakot es šokā šobrīd latvijā cilvēki kas domā mūsu vēlēšanu sistēma strādā šāda principa balsoju tiem ko nevēlos redzēt saeimā
"""Šiem """"progresīvajiem"""" rašistu radiniekiem Saeimā nav vietas! ⛔stop russians""",-1,šiem progresīvajiem rašistu radiniekiem saeimā nav vietas stop russians
"""Ja Tev šķiet, ka Tava balss neko neietekmē un Tu nevari izlemt, tāpēc domā, ka labāk uz vēlēšanām neiesi – uzzīmēju, kā mainās Saeima, ja 15% vēlētāju (tādi, kas balsotu par kādu """"lielo"""" partiju – pēc pēdējās aptaujas) nolemj neaiziet. Saeimā tad tiktu gan Gobzems, gan Šlesers.""",0,tev šķiet tava balss neko neietekmē tu nevari izlemt domā labāk vēlēšanām neiesi uzzīmēju mainās saeima vēlētāju tādi kas balsotu kādu lielo partiju pēdējās aptaujas nolemj neaiziet saeimā tiktu gobzems šlesers
"Ja brīva stunda, te mana saruna ar Uldi Dumpi. Par kolēģiem aktieriem Saeimā, par viņa paaudzes čīkstētājiem, par radio Brīvo mikrofonu, par ko balsot, par dzīvi bez tēva. Nerunājām par Limuzīna filmu un Lāsmiņu. lr1.lsm.lv/lv/raksts/laikmet…""",0,brīva stunda mana saruna uldi dumpi kolēģiem aktieriem saeimā viņa paaudzes čīkstētājiem radio brīvo mikrofonu ko balsot dzīvi tēva nerunājām limuzīna filmu lāsmiņu
"""Saeima 1. lasījumā atbalstīja """"Latviešu valodas kā vienīgās valsts valodas statusa nodrošināšanas likumu"""", kura mērķis ir ierobežot faktisko divvalodību Latvijā. Likums noteiks būtiskus ierobežojumus krievu valodas lietojumam arī komersantu saziņā ar klientiem #AtkrieviskoLatviju""",0,saeima lasījumā atbalstīja latviešu valodas vienīgās valsts valodas statusa nodrošināšanas likumu kura mērķis ierobežot faktisko divvalodību latvijā likums noteiks būtiskus ierobežojumus krievu valodas lietojumam komersantu saziņā klientiem
"Saeima otrajā lasījumā atbalsta Muižnieces rosināto pāreju uz mācībām tikai latviešu valodā. konservativie.lv/2022/09/08/…""",0,saeima otrajā lasījumā atbalsta muižnieces rosināto pāreju mācībām latviešu valodā
"Mulsinoši - R.Bergmanis no Apvienotā saraksta, Saeimā debatējot par Valsts aizsardzības dienestu (VAD), uztur mītu, ka VAD ieviešana izmaksāšot 800 miljonus gadā. Kas ir pilnīgas blēņas, kuras izmanto VAD pretinieki. Patiesībā: 87M 2023.g., pakāpeniski pieaugot līdz 179M 2027.g.",-1,mulsinoši r bergmanis apvienotā saraksta saeimā debatējot valsts aizsardzības dienestu vad uztur mītu vad ieviešana izmaksāšot miljonus gadā kas pilnīgas blēņas kuras izmanto vad pretinieki patiesībā m g pakāpeniski pieaugot m g
"Saeima uzsāk izskatīt Nacionālās apvienības virzītos grozījumus Imigrācijas likumā, kuri paredz apturēt jaunu un atkārtotu termiņuzturēšanās atļauju izsniegšanu Krievijas pilsoņiem, kā arī visu esošo pastāvīgās uzturēšanās atļauju pārskatīšanu Krievijas pilsoņiem.",0,saeima uzsāk izskatīt nacionālās apvienības virzītos grozījumus imigrācijas likumā kuri paredz apturēt jaunu atkārtotu termiņuzturēšanās atļauju izsniegšanu krievijas pilsoņiem visu esošo pastāvīgās uzturēšanās atļauju pārskatīšanu krievijas pilsoņiem
"Viens no iemesliem, kāpēc es balsošu par Pro - es vēlos, lai Selma tiek Saeimā, jo sieviete, pret kuru vēršas tik liels kvantums vīriešu ar tik drausmīgām jēlībām un naidu sava aizskartā ego dēļ, ir tieši tas dadzis/spridzeklis Saeimā, kas tur līdz šim ir šausmīgi pietrūcis.",-1,viens iemesliem kāpēc es balsošu pro es vēlos selma saeimā sieviete kuru vēršas liels kvantums vīriešu drausmīgām jēlībām naidu sava aizskartā ego tieši tas dadzis spridzeklis saeimā kas tur šim šausmīgi pietrūcis
"""Šai kremļa rašistu veterāndzeguzei un viņas rokaspuišiem nav vietas mūsu Saeimā! Ja latvieši neiesim vēlēt, viņi būs iekšā... ⛔Stop russians""",-1,šai kremļa rašistu veterāndzeguzei viņas rokaspuišiem nav vietas mūsu saeimā latvieši neiesim vēlēt viņi iekšā stop russians
"LU sakanais profesors Tēraudkalns gari skaidro, ka Saeima nevar baznīcas vietā atdalīties no Maskavas patriarhāta, noklusējot, ka LPB (Konstantinopoles patriarhātā) tika likvidēta 1941. gadā ar PSRS NKVD tautas komisāra Merkulova rīkojumu, neprasot nekādu latviešu viedokli!",-1,lu sakanais profesors tēraudkalns gari skaidro saeima nevar baznīcas vietā atdalīties maskavas patriarhāta noklusējot lpb konstantinopoles patriarhātā likvidēta gadā psrs nkvd tautas komisāra merkulova rīkojumu neprasot nekādu latviešu viedokli
"""Mans Antitop 3 uz 1.oktobra vēlēšanām no partijām,kuras reāli var iekļūt Saeimā un rada vislielākos eksistenciālos draudus mūsu latviešu nacionālajai valstij un sabiedrībai: 1.Ždanokas LKS 2.Progresīvie 3.Rosļikovieši;""",-1,mans antitop oktobra vēlēšanām partijām kuras reāli iekļūt saeimā rada vislielākos eksistenciālos draudus mūsu latviešu nacionālajai valstij sabiedrībai ždanokas lks progresīvie rosļikovieši
"jaunu skatupunktu uz stagnējošām problēmām. es labāk balsoju par 20+ jauniešiem ar svaigu bakalauru, nekā par vecajiem kraķiem, kuri sēž Saeimā jau kopš 90. gadiem, un no kuriem jēgas ir aptuveni tikpat daudz, cik no šķirbas starp zobiem",-1,jaunu skatupunktu stagnējošām problēmām es labāk balsoju jauniešiem svaigu bakalauru vecajiem kraķiem kuri sēž saeimā gadiem kuriem jēgas aptuveni tikpat daudz cik šķirbas zobiem
"""Sarakstu TOP 5 valodu un vecuma grupās reitingi.factum.lv #saeima #vēlēšanas""",0,sarakstu top valodu vecuma grupās
"""Apvienotā saraksta deputāta kandidāta runai Saeimā, kas kritizē Valsts aizsardzības dienesta likumprojektu paketi, aktīvi aplaudēja Saskaņas, ZZS, """"Suverēnā vara"""" deputāti. Tas kaut ko liecina par AS noskaņojumu drošības sakarā.""",-1,apvienotā saraksta deputāta kandidāta runai saeimā kas kritizē valsts aizsardzības dienesta likumprojektu paketi aktīvi aplaudēja saskaņas zzs suverēnā vara deputāti tas ko liecina as noskaņojumu drošības sakarā
Okupāciju un rusifikāciju nepiedzīvojusī jaunā regresa krievinātāja vēlas ielauzties Saeimā. 😱😱😱 Alert!,-1,okupāciju rusifikāciju nepiedzīvojusī jaunā regresa krievinātāja vēlas ielauzties saeimā alert
"""Paldies Konservatīvajiem un @anita_muizniece par pāreju uz latviešu valodu pamatizglītībā un bērnudārzos. Jācer, ka K izdosies pārvarēt 5% slieksni. Ir vesela rinda citu partiju, kuras nebūtu pelnījušas būt nākamajā Saeimā. lsm.lv/raksts/zinas/latvija/…""",1,paldies konservatīvajiem muizniece pāreju latviešu valodu pamatizglītībā bērnudārzos jācer k izdosies pārvarēt slieksni vesela rinda citu partiju kuras nebūtu pelnījušas nākamajā saeimā
"""Tikko Saeimā saņemts Valsts prezidenta iesniegtais likumprojekts, ar kuru tiek atzīts un nostiprināts Latvijas Pareizticīgās Baznīcas kā pilnīgi pastāvīgas un neatkarīgas baznīcas statuss. Šim likumprojektam būs nedalīts JV frakcijas atbalsts. titania.saeima.lv/LIVS13/Sae…""",0,saeimā saņemts valsts prezidenta iesniegtais likumprojekts kuru atzīts nostiprināts latvijas pareizticīgās baznīcas pilnīgi pastāvīgas neatkarīgas baznīcas statuss šim likumprojektam nedalīts jv frakcijas atbalsts
"""AttPar pietuvināti reklāmisti """"Deep White"""" mums esot reklamējuši Pleša ministriju par 2,09 miljoniem. Citi AttPar čomi reklamējuši Pavļuta ministriju par vēl gandrīz miljonu. Kampēji AlkatībaiPar nedrīkst būt nākamajā Saeimā.""",-1,attpar pietuvināti reklāmisti deep white mums esot reklamējuši pleša ministriju miljoniem citi attpar čomi reklamējuši pavļuta ministriju vēl gandrīz miljonu kampēji alkatībaipar nedrīkst nākamajā saeimā
"Es gribētu, lai Saeimā nokļūst arī @konservativie . Gribu atgādināt, ka tieši viņi nepieļāva ZZS, kas ļoti draudzējas ar Lembergu, nonākšanu valdībā. Turklāt mani apmierina tas, kā viņi balso - par mācībām latviešu valodā, par Uzvaras pieminekļa demontāžu u.c.",1,es gribētu saeimā nokļūst gribu atgādināt tieši viņi nepieļāva zzs kas ļoti draudzējas lembergu nonākšanu valdībā turklāt mani apmierina tas viņi balso mācībām latviešu valodā uzvaras pieminekļa demontāžu u c
"Pienākums izpildīts, tiesības izmantotas. Par @Progresivie ! Lai beidzot Saeimā!",1,pienākums izpildīts tiesības izmantotas beidzot saeimā
"""Es domāju, ka balsot par Jauno Vienotību vajag tiem, kuriem nav bijušas problēmas savilkt jostu ap vidukli, lai gan tas bija tikai treniņš. Ievēlot JV daudz kuplākā skaitā 14. Saeimā, jostu varēs savilkt arī ap kaklu.""",1,es domāju balsot jauno vienotību vajag tiem kuriem nav bijušas problēmas savilkt jostu vidukli tas treniņš ievēlot jv daudz kuplākā skaitā saeimā jostu savilkt kaklu
"Konservatīvie ir nedaudz nenovērtēti, jā. Neesmu baigais fans, bet kopumā es viņus Saeimā redzētu krietni labprātāk nekā lielāko daļu pārējo partiju.",1,konservatīvie nedaudz nenovērtēti neesmu baigais fans kopumā es viņus saeimā redzētu krietni labprātāk lielāko daļu pārējo partiju
"Saeima atbalsta @VL_TBLNNK un @konservativie iesniegto grozījumu Imigrācijas likumā tālāku skatīšanu. Ar šiem grozījumiem tiks apturēta TUA pagarināšana Krievijas un Baltkrievijas pilsoņiem, kas to saņēmuši par investīcijām vai nekustamā īpašuma iegādi.",0,saeima atbalsta tblnnk iesniegto grozījumu imigrācijas likumā tālāku skatīšanu šiem grozījumiem apturēta tua pagarināšana krievijas baltkrievijas pilsoņiem kas to saņēmuši investīcijām nekustamā īpašuma iegādi
"""Un šobrīdējie reitingi liecina, ka nākamajā Saeimā abortu aizliegumam var parādīties vairākuma atbalsts. Nelielais solis starp Konservatīvajiem un NA un starp AS un JV-A/PAR.""",0,šobrīdējie reitingi liecina nākamajā saeimā abortu aizliegumam parādīties vairākuma atbalsts nelielais solis konservatīvajiem na as jv a
"Vēsturisks balsojums - Saeima, pret balsojot vien Kremļa Saskaņai un tās piedēkļiem, konceptuāli atbalsta obligāta Valsts aizsardzības dienesta ieviešanu, ko Nacionālā apvienība @VL_TBLNNK rosināja jau 2014. un 2017. gadā. Toreiz Aizsardzības ministrijas vadība bija pret.",1,vēsturisks balsojums saeima balsojot kremļa saskaņai tās piedēkļiem konceptuāli atbalsta obligāta valsts aizsardzības dienesta ieviešanu ko nacionālā apvienība tblnnk rosināja gadā toreiz aizsardzības ministrijas vadība
"""Mārtiņš Staķis: Krīzes laikā Saeimā ir vajadzīgi politiķi, kas domā par vidusslāņa un mazāk turīgo ģimeņu un cilvēku labklājību. Un tādi ir @Progresivie. Pateicamies bezpartejiskajam galvaspilsētas mēram par labajiem vārdiem! ❤💚 #AizstāvamNākotni""",1,mārtiņš staķis krīzes laikā saeimā vajadzīgi politiķi kas domā vidusslāņa mazāk turīgo ģimeņu cilvēku labklājību tādi pateicamies bezpartejiskajam galvaspilsētas mēram labajiem vārdiem
"Sieviete ar pautiem! Gribu, lai @anita_muizniece arī nākamajā Saeimā valda un skalda!",1,sieviete pautiem gribu muizniece nākamajā saeimā valda skalda
